Entry point,Port,Country,Associated IP
isp.oxylabs.io,8001,US,92.71.73.55
isp.oxylabs.io,8002,US,64.29.74.61
isp.oxylabs.io,8003,US,50.117.28.205
isp.oxylabs.io,8004,US,50.117.28.69
isp.oxylabs.io,8005,US,108.165.238.208
isp.oxylabs.io,8006,US,166.0.105.163
isp.oxylabs.io,8007,US,166.0.224.3
isp.oxylabs.io,8008,US,166.0.241.8
isp.oxylabs.io,8009,US,142.111.70.38
isp.oxylabs.io,8010,US,142.111.73.250
isp.oxylabs.io,8011,US,50.117.73.250
isp.oxylabs.io,8012,US,69.46.65.82
isp.oxylabs.io,8013,US,198.145.50.171
isp.oxylabs.io,8014,US,108.165.113.150
isp.oxylabs.io,8015,US,108.165.113.236
isp.oxylabs.io,8016,US,166.0.161.149
isp.oxylabs.io,8017,US,166.0.161.19
isp.oxylabs.io,8018,US,166.0.241.226
isp.oxylabs.io,8019,US,142.111.70.28
isp.oxylabs.io,8020,US,142.111.70.91
